"Group","Run ID","metric","step","timestamp","value"
"EOPKGTopologyConditioned","","drift_window_macro_f1","124","1780899603067","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","126","1780899603925","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","127","1780899604494","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","129","1780899605715","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","131","1780899606453","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","133","1780899607321","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","134","1780899607674","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","136","1780899608196","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","138","1780899608722","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","139","1780899609036","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","141","1780899609603","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","143","1780899610184","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","145","1780899610754","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","146","1780899611057","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","148","1780899611793","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","150","1780899612584","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","151","1780899612921","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","153","1780899613560","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","155","1780899614120","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","156","1780899614393","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","158","1780899614981","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","160","1780899615601","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","162","1780899616226","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","163","1780899616547","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","165","1780899617191","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","167","1780899617748","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","168","1780899618017","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","170","1780899618554","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","172","1780899619087","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","174","1780899619722","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","175","1780899620043","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","177","1780899620713","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","179","1780899621355","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","180","1780899621654","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","182","1780899622180","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","184","1780899622843","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","185","1780899623135","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","187","1780899623764","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","189","1780899624383","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","191","1780899624978","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","192","1780899625283","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","194","1780899625771","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","196","1780899626251","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","197","1780899626489","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","199","1780899626958","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","201","1780899627433","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","203","1780899627951","1"
"EOPKGTopologyConditioned","","drift_window_macro_f1","204","1780899628236","1"
