metric,metric_label,family,comparison,seed,baseline_model,baseline_value,eopkg_value,advantage_direction,paired_advantage,baseline_run_id,eopkg_run_id
drift_window_test_oos,OOS rate,primary,EOPKG vs GATv2+Mask,42,GATv2+Mask,0.399848,0.099772,lower,0.300076,302fb003f78d468b867a9477e40e9d50,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_oos,OOS rate,primary,EOPKG vs GATv2+Mask,55,GATv2+Mask,0.399848,0.094059,lower,0.305788,969f6444b8874e8abe26653037a5a68b,e61540633e6547ed8c59bb28154d4917
drift_window_test_oos,OOS rate,primary,EOPKG vs GATv2+Mask,67,GATv2+Mask,0.399848,0.161843,lower,0.238005,33779343e67645c4b55e0ec2d2f81c0a,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_oos,OOS rate,primary,EOPKG vs GATv2+Mask,78,GATv2+Mask,0.399848,0.079970,lower,0.319878,06057a9f5a6b49bfa0e90be8b7e75335,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_oos,OOS rate,primary,EOPKG vs LSTM,13,LSTM,0.527799,0.160701,lower,0.367098,947216b4af334db88539b25462b18624,b03b8880277a467287a08bb2d2153b28
drift_window_test_oos,OOS rate,primary,EOPKG vs LSTM,42,LSTM,0.607007,0.099772,lower,0.507235,f6c4ddc23599407f882f9d237f19c6e0,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_oos,OOS rate,primary,EOPKG vs LSTM,55,LSTM,0.780274,0.094059,lower,0.686215,c0522b44b1764d5086add47291774d05,e61540633e6547ed8c59bb28154d4917
drift_window_test_oos,OOS rate,primary,EOPKG vs LSTM,67,LSTM,0.711729,0.161843,lower,0.549886,e35ad47b0b2c402aad5b87be01d9b6c8,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_oos,OOS rate,primary,EOPKG vs LSTM,78,LSTM,0.863290,0.079970,lower,0.783321,27d845ee73b648a3a49992c21b7d59c7,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_oos,OOS rate,primary,EOPKG vs EOPKG-WI,13,EOPKG-WI,0.428408,0.160701,lower,0.267708,090ed1f9329c470dacabe8e87cad00e7,b03b8880277a467287a08bb2d2153b28
drift_window_test_oos,OOS rate,primary,EOPKG vs EOPKG-WI,42,EOPKG-WI,0.485910,0.099772,lower,0.386139,431a79f4e8044d2987d5f97c90a221c6,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_oos,OOS rate,primary,EOPKG vs EOPKG-WI,55,EOPKG-WI,0.571973,0.094059,lower,0.477913,edd97efded1f4ee08e676233e55461b9,e61540633e6547ed8c59bb28154d4917
drift_window_test_oos,OOS rate,primary,EOPKG vs EOPKG-WI,67,EOPKG-WI,0.467251,0.161843,lower,0.305407,5f855ce1446645a4a4d52a5b3c12507f,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_oos,OOS rate,primary,EOPKG vs EOPKG-WI,78,EOPKG-WI,0.542650,0.079970,lower,0.462681,52976b78cd13459d8aeef2428f0736f8,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2,13,GATv2,0.356264,0.223662,lower,0.132602,e03f160a63b34907b648e6b29b051f93,b03b8880277a467287a08bb2d2153b28
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2,42,GATv2,0.488601,0.156635,lower,0.331966,bf6da114c8534a8eb85cf5a9d296cb1c,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2,55,GATv2,0.486459,0.150793,lower,0.335667,d1400b7f5cee485485c75935ba0856fe,e61540633e6547ed8c59bb28154d4917
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2,67,GATv2,0.444515,0.211242,lower,0.233273,2ab927c10aa14ff6b86c7fca2ad45124,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2,78,GATv2,0.513665,0.160772,lower,0.352893,6da86c9f8a8745ddb59c64a7e23ad129,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2+Mask,13,GATv2+Mask,0.304550,0.223662,lower,0.080888,92cf23d2a12240eeafc5b9991933f8e4,b03b8880277a467287a08bb2d2153b28
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2+Mask,42,GATv2+Mask,0.248226,0.156635,lower,0.091591,302fb003f78d468b867a9477e40e9d50,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2+Mask,55,GATv2+Mask,0.352052,0.150793,lower,0.201259,969f6444b8874e8abe26653037a5a68b,e61540633e6547ed8c59bb28154d4917
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2+Mask,67,GATv2+Mask,0.407263,0.211242,lower,0.196021,33779343e67645c4b55e0ec2d2f81c0a,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_ece,Test ECE,primary,EOPKG vs GATv2+Mask,78,GATv2+Mask,0.305100,0.160772,lower,0.144327,06057a9f5a6b49bfa0e90be8b7e75335,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_ece,Test ECE,primary,EOPKG vs LSTM,13,LSTM,0.386518,0.223662,lower,0.162856,947216b4af334db88539b25462b18624,b03b8880277a467287a08bb2d2153b28
drift_window_test_ece,Test ECE,primary,EOPKG vs LSTM,42,LSTM,0.415765,0.156635,lower,0.259130,f6c4ddc23599407f882f9d237f19c6e0,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_ece,Test ECE,primary,EOPKG vs LSTM,55,LSTM,0.491849,0.150793,lower,0.341056,c0522b44b1764d5086add47291774d05,e61540633e6547ed8c59bb28154d4917
drift_window_test_ece,Test ECE,primary,EOPKG vs LSTM,67,LSTM,0.418858,0.211242,lower,0.207616,e35ad47b0b2c402aad5b87be01d9b6c8,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_ece,Test ECE,primary,EOPKG vs LSTM,78,LSTM,0.491016,0.160772,lower,0.330243,27d845ee73b648a3a49992c21b7d59c7,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_ece,Test ECE,primary,EOPKG vs EOPKG-WI,13,EOPKG-WI,0.232005,0.223662,lower,0.008343,090ed1f9329c470dacabe8e87cad00e7,b03b8880277a467287a08bb2d2153b28
drift_window_test_ece,Test ECE,primary,EOPKG vs EOPKG-WI,42,EOPKG-WI,0.193671,0.156635,lower,0.037036,431a79f4e8044d2987d5f97c90a221c6,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_ece,Test ECE,primary,EOPKG vs EOPKG-WI,55,EOPKG-WI,0.192628,0.150793,lower,0.041835,edd97efded1f4ee08e676233e55461b9,e61540633e6547ed8c59bb28154d4917
drift_window_test_ece,Test ECE,primary,EOPKG vs EOPKG-WI,67,EOPKG-WI,0.223929,0.211242,lower,0.012687,5f855ce1446645a4a4d52a5b3c12507f,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_ece,Test ECE,primary,EOPKG vs EOPKG-WI,78,EOPKG-WI,0.269422,0.160772,lower,0.108649,52976b78cd13459d8aeef2428f0736f8,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2,13,GATv2,11.170139,3.059703,lower,8.110436,e03f160a63b34907b648e6b29b051f93,b03b8880277a467287a08bb2d2153b28
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2,42,GATv2,13.053048,4.240269,lower,8.812779,bf6da114c8534a8eb85cf5a9d296cb1c,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2,55,GATv2,12.979230,2.064014,lower,10.915216,d1400b7f5cee485485c75935ba0856fe,e61540633e6547ed8c59bb28154d4917
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2,67,GATv2,14.201420,1.900880,lower,12.300540,2ab927c10aa14ff6b86c7fca2ad45124,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2,78,GATv2,12.069162,2.229971,lower,9.839192,6da86c9f8a8745ddb59c64a7e23ad129,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2+Mask,13,GATv2+Mask,10.064179,3.059703,lower,7.004476,92cf23d2a12240eeafc5b9991933f8e4,b03b8880277a467287a08bb2d2153b28
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2+Mask,42,GATv2+Mask,10.060179,4.240269,lower,5.819910,302fb003f78d468b867a9477e40e9d50,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2+Mask,55,GATv2+Mask,10.589661,2.064014,lower,8.525646,969f6444b8874e8abe26653037a5a68b,e61540633e6547ed8c59bb28154d4917
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2+Mask,67,GATv2+Mask,10.668254,1.900880,lower,8.767374,33779343e67645c4b55e0ec2d2f81c0a,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs GATv2+Mask,78,GATv2+Mask,10.273022,2.229971,lower,8.043051,06057a9f5a6b49bfa0e90be8b7e75335,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs LSTM,13,LSTM,10.832135,3.059703,lower,7.772432,947216b4af334db88539b25462b18624,b03b8880277a467287a08bb2d2153b28
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs LSTM,42,LSTM,10.856043,4.240269,lower,6.615774,f6c4ddc23599407f882f9d237f19c6e0,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs LSTM,55,LSTM,11.992220,2.064014,lower,9.928206,c0522b44b1764d5086add47291774d05,e61540633e6547ed8c59bb28154d4917
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs LSTM,67,LSTM,11.685711,1.900880,lower,9.784831,e35ad47b0b2c402aad5b87be01d9b6c8,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs LSTM,78,LSTM,12.645411,2.229971,lower,10.415441,27d845ee73b648a3a49992c21b7d59c7,b739aca822a14a1cbd642cd4ac692d17
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs EOPKG-WI,13,EOPKG-WI,2.626998,3.059703,lower,-0.432705,090ed1f9329c470dacabe8e87cad00e7,b03b8880277a467287a08bb2d2153b28
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs EOPKG-WI,42,EOPKG-WI,2.995058,4.240269,lower,-1.245211,431a79f4e8044d2987d5f97c90a221c6,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs EOPKG-WI,55,EOPKG-WI,2.716709,2.064014,lower,0.652694,edd97efded1f4ee08e676233e55461b9,e61540633e6547ed8c59bb28154d4917
drift_window_test_set_nll,Test Set NLL,primary,EOPKG vs EOPKG-WI,67,EOPKG-WI,3.282549,1.900880,lower,1.381670,5f855ce1446645a4a4d52a5b3c12507f,e53ccb9930de4f7bb9b8aac4b4105174
