metric,metric_label,family,comparison,seed,baseline_model,baseline_value,eopkg_value,advantage_direction,paired_advantage,baseline_run_id,eopkg_run_id
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs EOPKG-WI,67,EOPKG-WI,0.532749,0.838157,higher,0.305407,5f855ce1446645a4a4d52a5b3c12507f,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_pred_in_mask_rate,Prediction in Mask rate,secondary,EOPKG vs EOPKG-WI,78,EOPKG-WI,0.457350,0.920030,higher,0.462681,52976b78cd13459d8aeef2428f0736f8,b739aca822a14a1cbd642cd4ac692d17
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2,13,GATv2,0.121478,0.294745,higher,0.173267,e03f160a63b34907b648e6b29b051f93,b03b8880277a467287a08bb2d2153b28
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2,42,GATv2,0.060168,0.357197,higher,0.297030,bf6da114c8534a8eb85cf5a9d296cb1c,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2,55,GATv2,0.052171,0.369764,higher,0.317593,d1400b7f5cee485485c75935ba0856fe,e61540633e6547ed8c59bb28154d4917
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2,67,GATv2,0.089871,0.268850,higher,0.178979,2ab927c10aa14ff6b86c7fca2ad45124,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2,78,GATv2,0.067403,0.369764,higher,0.302361,6da86c9f8a8745ddb59c64a7e23ad129,b739aca822a14a1cbd642cd4ac692d17
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2+Mask,13,GATv2+Mask,0.153846,0.294745,higher,0.140899,92cf23d2a12240eeafc5b9991933f8e4,b03b8880277a467287a08bb2d2153b28
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2+Mask,42,GATv2+Mask,0.172125,0.357197,higher,0.185072,302fb003f78d468b867a9477e40e9d50,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2+Mask,55,GATv2+Mask,0.138233,0.369764,higher,0.231531,969f6444b8874e8abe26653037a5a68b,e61540633e6547ed8c59bb28154d4917
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2+Mask,67,GATv2+Mask,0.161843,0.268850,higher,0.107007,33779343e67645c4b55e0ec2d2f81c0a,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs GATv2+Mask,78,GATv2+Mask,0.123001,0.369764,higher,0.246763,06057a9f5a6b49bfa0e90be8b7e75335,b739aca822a14a1cbd642cd4ac692d17
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs LSTM,13,LSTM,0.091775,0.294745,higher,0.202970,947216b4af334db88539b25462b18624,b03b8880277a467287a08bb2d2153b28
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs LSTM,42,LSTM,0.084158,0.357197,higher,0.273039,f6c4ddc23599407f882f9d237f19c6e0,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs LSTM,55,LSTM,0.044174,0.369764,higher,0.325590,c0522b44b1764d5086add47291774d05,e61540633e6547ed8c59bb28154d4917
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs LSTM,67,LSTM,0.055979,0.268850,higher,0.212871,e35ad47b0b2c402aad5b87be01d9b6c8,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs LSTM,78,LSTM,0.026276,0.369764,higher,0.343488,27d845ee73b648a3a49992c21b7d59c7,b739aca822a14a1cbd642cd4ac692d17
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs EOPKG-WI,13,EOPKG-WI,0.165651,0.294745,higher,0.129094,090ed1f9329c470dacabe8e87cad00e7,b03b8880277a467287a08bb2d2153b28
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs EOPKG-WI,42,EOPKG-WI,0.195354,0.357197,higher,0.161843,431a79f4e8044d2987d5f97c90a221c6,210a1a668a5649d1b5ff4f4adc5fb93b
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs EOPKG-WI,55,EOPKG-WI,0.116527,0.369764,higher,0.253237,edd97efded1f4ee08e676233e55461b9,e61540633e6547ed8c59bb28154d4917
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs EOPKG-WI,67,EOPKG-WI,0.228865,0.268850,higher,0.039985,5f855ce1446645a4a4d52a5b3c12507f,e53ccb9930de4f7bb9b8aac4b4105174
drift_window_strict_error_but_allowed_rate,Strict Error but Allowed rate,error_profile,EOPKG vs EOPKG-WI,78,EOPKG-WI,0.160701,0.369764,higher,0.209063,52976b78cd13459d8aeef2428f0736f8,b739aca822a14a1cbd642cd4ac692d17
