metric,GATv2,GATv2+Mask,LSTM,EOPKG-WI,EOPKG
strict_test_f1_mask_card_2,0.696 ± 0.013,0.714 ± 0.028,0.699 ± 0.014,0.797 ± 0.032,0.724 ± 0.016
strict_test_f1_mask_card_3_plus,0.604 ± 0.006,0.624 ± 0.013,0.617 ± 0.031,0.731 ± 0.012,0.774 ± 0.004
strict_test_f1_v1,0.679 ± 0.006,0.751 ± 0.016,0.738 ± 0.016,0.744 ± 0.018,0.782 ± 0.005
strict_test_f1_v2,0.726 ± 0.030,0.733 ± 0.017,0.734 ± 0.012,0.735 ± 0.013,0.774 ± 0.005
strict_test_macro_f1,0.729 ± 0.014,0.749 ± 0.015,0.750 ± 0.011,0.736 ± 0.018,0.775 ± 0.004
strict_test_oos_len_11_20,0.056 ± 0.008,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.001,0.000 ± 0.000
strict_test_oos_len_1_5,0.002 ± 0.003,0.000 ± 0.000,0.000 ± 0.000,0.035 ± 0.040,0.000 ± 0.000
strict_test_oos_len_21_plus,0.001 ± 0.002,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.000
strict_test_oos_len_6_10,0.001 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.001 ± 0.001,0.000 ± 0.000
strict_test_oos_mask_card_1,0.030 ± 0.011,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.000 ± 0.000
strict_test_oos_mask_card_2,0.001 ± 0.000,0.000 ± 0.000,0.000 ± 0.000,0.005 ± 0.008,0.000 ± 0.000
strict_test_oos_mask_card_3_plus,0.031 ± 0.015,0.000 ± 0.000,0.000 ± 0.001,0.008 ± 0.009,0.000 ± 0.000
strict_test_oos_v1,0.029 ± 0.012,0.000 ± 0.000,0.000 ± 0.000,0.005 ± 0.009,0.000 ± 0.000
strict_test_oos_v2,0.007 ± 0.019,0.000 ± 0.000,0.000 ± 0.000,0.009 ± 0.009,0.000 ± 0.000
strict_test_precision_macro,0.726 ± 0.014,0.764 ± 0.008,0.757 ± 0.011,0.731 ± 0.014,0.820 ± 0.017
strict_test_recall_macro,0.765 ± 0.008,0.786 ± 0.003,0.787 ± 0.006,0.761 ± 0.018,0.781 ± 0.003
