metric,paper_model,mean,std,n,aggregation_scope,run_ids
fixed_label_strict_test_accuracy,EOPKG-WI,0.914,0.008,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
fixed_label_strict_test_accuracy,EOPKG,0.926,0.001,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
fixed_label_strict_test_macro_f1,GATv2,0.729,0.014,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
fixed_label_strict_test_macro_f1,GATv2+Mask,0.749,0.015,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
fixed_label_strict_test_macro_f1,LSTM,0.750,0.011,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
fixed_label_strict_test_macro_f1,EOPKG-WI,0.736,0.018,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
fixed_label_strict_test_macro_f1,EOPKG,0.775,0.004,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
fixed_label_strict_test_weighted_f1,GATv2,0.878,0.019,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
fixed_label_strict_test_weighted_f1,GATv2+Mask,0.882,0.022,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
fixed_label_strict_test_weighted_f1,LSTM,0.889,0.014,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
fixed_label_strict_test_weighted_f1,EOPKG-WI,0.895,0.009,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
fixed_label_strict_test_weighted_f1,EOPKG,0.916,0.002,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
fixed_label_test_accuracy,GATv2,0.981,0.003,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
fixed_label_test_accuracy,GATv2+Mask,1.000,0.000,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
fixed_label_test_accuracy,LSTM,1.000,0.000,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
fixed_label_test_accuracy,EOPKG-WI,0.993,0.008,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
fixed_label_test_accuracy,EOPKG,1.000,0.000,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
fixed_label_test_ece,GATv2,0.028,0.006,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
fixed_label_test_ece,GATv2+Mask,0.032,0.010,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
fixed_label_test_ece,LSTM,0.030,0.007,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
fixed_label_test_ece,EOPKG-WI,0.015,0.004,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
fixed_label_test_ece,EOPKG,0.011,0.001,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
fixed_label_test_macro_f1,GATv2,0.938,0.009,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
fixed_label_test_macro_f1,GATv2+Mask,1.000,0.000,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
fixed_label_test_macro_f1,LSTM,1.000,0.000,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
fixed_label_test_macro_f1,EOPKG-WI,0.982,0.025,7,best_epoch;fallback_last_no_best_step,65fb28926d0d45709ad89ec7cf9aef59;88e10c5c5b45467e935548e0decdf824;8b07202c23874e298ad9b3445b49872d;8d2a911a18bb4d61a536433690b744f0;a6f92d038fdd4015af0c2ca3d4d657de;d0cd559af6bc4bcd986fb11b0ed56877;d3b7c7404a1b432b8dd330d96271b528
fixed_label_test_macro_f1,EOPKG,1.000,0.000,7,fallback_last_no_best_step,43c4e96d97544cea9eae53251dac57de;5e56c5c7531d4675b4c740f509ff678f;5fcc89889b1d45c489329f5e3df9a5a2;a9ec65c003b14176b0d853a15471bbbb;b8f6130db97f4f28b27d4528497aa1f3;c9399e3109674246bfa4894487904d27;ebdfb988ea654392a4a4fc270f9e7c71
fixed_label_test_set_nll,GATv2,0.230,0.008,7,fallback_last_no_best_step,0827dcd6f1a34d1a8330115b73a5f288;19d9078ee52942b08295cf257ee764d0;43bb080720cd41c0919a926a04029b92;4de188c1615448e39860458609d7ba5b;52f73713e211451695967c00ca8a57d0;6ede1f8547d64f9ca43d7c45efbd429f;bbb9ea80d692474a87731fdf952ebe1b
fixed_label_test_set_nll,GATv2+Mask,0.201,0.006,7,fallback_last_no_best_step,477ddf290447423086388425acd95d46;48e638d369504463b16fb3f11d14da88;b69e5641721747a5bc0357cd3e450a67;de7d038476b74690a441bf00a9b6f2fc;efb7334ec4e74b2d9dcb5c2eeed6beb3;f22f95e6487c4d62ae00ec6a81ddfbb2;fd61176a11094a29bec34a4accb6a2e7
fixed_label_test_set_nll,LSTM,0.194,0.005,7,fallback_last_no_best_step,28783e1f90934a3c9261e69c322f731a;91bf625c79f04aeeb993f58ff30e43bb;97a69231f63141a7bb7f6780b16c17fe;ad4f63e79ee3447ca17d3036caa46702;cbbdeac775de461c865ab13391a906dd;de92aac60c8343dc8e495144fb1f50fb;e76233f053ef480991b58d327df48a9c
