"Group","Run ID","inference_impulse_gnn_oversmoothing_ratio","train_impulse_gnn_oversmoothing_ratio","validation_impulse_gnn_oversmoothing_ratio","inference_impulse_activation_max_abs","inference_impulse_activation_mean_abs","inference_impulse_to_base_node_ratio","train_impulse_activation_max_abs","train_impulse_activation_mean_abs","train_impulse_to_base_node_ratio","validation_impulse_activation_max_abs","validation_impulse_activation_mean_abs","validation_impulse_to_base_node_ratio"
"EOPKGTopologyConditioned","","0.8587936617150496","0.8739315856154317","0.8844114907248937","5.6328020157352565","1.1038336225735244","1.638305760929277","6.702922756000997","1.1394367566737915","1.6900076266413226","6.446111659897106","1.1393631187897153","1.6917035493350372"
"EOPKGTopologyConditionedWI","","0","0","0","0","0","0","0","0","0","0","0","0"
