"Group","Run ID","strict_test_f1_len_11_20","strict_test_f1_len_1_5","strict_test_f1_len_21_plus","strict_test_f1_len_6_10","test_f1_len_11_20","test_f1_len_1_5","test_f1_len_21_plus","test_f1_len_6_10","strict_test_oos_len_11_20","strict_test_oos_len_1_5","strict_test_oos_len_21_plus","strict_test_oos_len_6_10","test_oos_len_11_20","test_oos_len_1_5","test_oos_len_21_plus","test_oos_len_6_10"
"BaselineGATv2","","0.7206442723520314","0.7755550123906249","0.7955644083268816","0.666668139139536","0.8795634120988263","0.9970427800856705","1","0.9614545454545453","0.05287234112620354","0.0023744291625916957","0","0.0010152284521609545","0.05287234112620354","0.0023744291625916957","0","0.0010152284521609545"
"EOPKGTopologyConditioned","","0.7834303445145098","0.7845907401765032","0.9347784327914","0.6356965514602798","1","1","1","1","0","0","0","0","0","0","0","0"
"LSTMBaseline","","0.7527475508054122","0.7781081934005167","0.7908895741518883","0.6397779216892142","0.9998211079805006","1","1","0.9701818181818183","0.00021276595070958139","0","0","0.0004060913808643818","0.00021276595070958139","0","0","0.0004060913808643818"
"EOPKGTopologyConditionedWI","","0.7335307208458062","0.7383944333311533","0.8144199549309196","0.6386466545848765","0.9760301426968093","0.9449997401111335","0.9851928374655649","0.9918840579710144","0.0008865247946232557","0.03135464216272036","0.0005151983350515366","0.0003384094840536515","0.0008865247946232557","0.03135464216272036","0.0005151983350515366","0.0003384094840536515"
