"Group","Run ID","strict_test_f1_mask_card_1","strict_test_f1_mask_card_2","strict_test_f1_mask_card_3_plus","strict_test_oos_mask_card_1","strict_test_oos_mask_card_2","strict_test_oos_mask_card_3_plus","test_oos_mask_card_1","test_oos_mask_card_2","test_oos_mask_card_3_plus","test_f1_mask_card_1","test_f1_mask_card_2","test_f1_mask_card_3_plus"
"BaselineGATv2","","0.9714530213092918","0.7003118955978438","0.6061234306186934","0.026067246124148367","0.000428265513619408","0.03590859584510327","0.026067246124148367","0.000428265513619408","0.03590859584510327","0.9714530213092918","0.9995733988465665","0.8494576880853119"
"EOPKGTopologyConditioned","","1","0.7233759877197238","0.7756330386948311","0","0","0","0","0","0","1","1","1"
"LSTMBaseline","","0.9998456251652128","0.697071511539394","0.6047160102700383","0.0001511144684627652","0","0.00043525570072233677","0.0001511144684627652","0","0.00043525570072233677","0.9998456251652128","1","0.9993703498739469"
"EOPKGTopologyConditionedWI","","1","0.771347469548591","0.72969992840686","0","0","0.008052919059991837","0","0","0.008052919059991837","1","1","0.974629523779256"
