"Group","Run ID","inference_impulse_gnn_oversmoothing_ratio","train_impulse_gnn_oversmoothing_ratio","validation_impulse_gnn_oversmoothing_ratio"
"EOPKGTopologyConditioned","","0.8587936617150496","0.8739315856154317","0.8844114907248937"
"EOPKGTopologyConditionedWI","","0","0","0"
